Month,Invoices,Credits,Net,Invoice count,Credit count,Documents
2024-07,5298.06,0.0,5298.06,13,0,13
2024-08,6399.86,46.660000000000004,6353.2,15,2,17
2024-09,1255.79,0.0,1255.79,6,0,6
2024-10,5633.759999999999,138.64000000000001,5495.119999999999,25,3,28
2024-11,7866.990000000001,47.209999999999994,7819.780000000001,14,3,17
2024-12,5383.569999999999,149.6,5233.969999999998,13,2,15
2025-01,4288.58,129.42,4159.16,13,4,17
2025-02,2768.25,84.19,2684.06,9,2,11
2025-03,5422.66,0.0,5422.66,12,0,12
2025-04,3624.66,52.77,3571.89,6,1,7
2025-05,8561.07,287.7,8273.369999999999,16,7,23
2025-06,9511.380000000001,383.52,9127.86,15,6,21
2025-07,9584.58,184.96,9399.62,17,8,25
2025-08,6679.780000000001,178.17,6501.610000000001,12,5,17
2025-09,3284.3500000000004,70.84,3213.51,12,2,14
2025-10,4272.83,79.02,4193.8099999999995,11,3,14
2025-11,8860.210000000001,410.15,8450.060000000001,11,6,17
2025-12,5352.5,246.97,5105.53,10,3,13
2026-01,4195.66,179.8,4015.8599999999997,6,5,11
2026-02,2739.33,6.54,2732.79,8,1,9
2026-03,3528.4000000000005,122.27000000000001,3406.1300000000006,8,3,11
2026-04,5165.509999999999,409.85,4755.659999999999,11,8,19
2026-05,7059.9400000000005,160.44,6899.500000000001,12,5,17
2026-06,7583.42,290.12,7293.3,13,9,22
2026-07,1829.5600000000002,44.5,1785.0600000000002,3,3,6
