Month,Assessed Cost GBP
2022-06,158.85
2022-09,144.43
2022-10,10.03
2022-12,66.65
2023-01,653.38
2023-02,1305.78
2023-03,1763.46
2023-04,1391.6
2023-05,2231.09
2023-06,3598.59
2023-07,1307.69
2023-08,2023.47
2023-09,672.56
2023-10,491.13
2023-11,2581.8
2023-12,89.81
2024-02,2955.1
2024-03,501.53
2024-04,1686.38
2024-05,3074.81
2024-06,2073.26
2024-07,3099.52
2024-08,1494.49
2024-09,1092.5
2024-10,1917.52
2024-11,1845.43
2024-12,1772.39
2025-01,1514.4
2025-02,1746.57
2025-03,1226.09
2025-04,1529.69
2025-05,3444.65
2025-06,4787.51
2025-07,2872.29
2025-08,3785.05
2025-09,1902.6
2025-10,2908.83
2025-11,4383.15
2025-12,2254.41
2026-01,2122.46
2026-02,1566.78
2026-03,1738.48
2026-04,2214.31
2026-05,3116.13
2026-06,79.95
